iter	Logloss
0	0.6765474471
1	0.6599998312
2	0.6353271602
3	0.6207357363
4	0.6098639095
5	0.58511224
6	0.564792674
7	0.5541202359
8	0.5425152469
9	0.5287260775
10	0.5182540842
11	0.5104651228
12	0.4954383151
13	0.4876620673
14	0.4814468722
15	0.4783109503
16	0.4653512922
17	0.457097372
18	0.4487830884
19	0.4428527636
20	0.438864489
21	0.4356103517
22	0.4315417074
23	0.4269322977
24	0.4240981418
25	0.4213849259
26	0.4169793669
27	0.4128339411
28	0.411935059
29	0.4089879081
30	0.4029209347
31	0.3987783519
32	0.3968994817
33	0.3926979433
34	0.3893619681
35	0.3863063145
36	0.3784343657
37	0.372119029
38	0.3709107171
39	0.3675200889
40	0.3648424182
41	0.3577591182
42	0.355421953
43	0.3525766325
44	0.3444437715
45	0.3435565467
46	0.3412503619
47	0.339010463
48	0.3356853009
49	0.3328860619
50	0.3315707101
51	0.3300384778
52	0.3287180429
53	0.3243503114
54	0.3229120784
55	0.3198407515
56	0.3140414633
57	0.3097780479
58	0.3074828464
59	0.303939373
60	0.3024236631
61	0.3003580761
62	0.2970198784
63	0.2949352951
64	0.2916828823
65	0.2894562395
66	0.2841110012
67	0.279385332
68	0.2759989404
69	0.2737875361
70	0.2701174607
71	0.2678534717
72	0.2668403298
73	0.2649149057
74	0.2627359318
75	0.2598880196
76	0.2519829469
77	0.2472799106
78	0.2440972898
79	0.238440804
80	0.2342922183
81	0.2317855107
82	0.2288890876
83	0.2254120133
84	0.2221662113
85	0.219508627
86	0.2166947797
87	0.2142213422
88	0.2106380576
89	0.2084414775
90	0.2063691754
91	0.2040768546
92	0.2011254064
93	0.1995821791
94	0.1974478134
95	0.1946835138
96	0.1924131245
97	0.1898008421
98	0.1877145242
99	0.1857000631
100	0.1835131404
101	0.1814103221
102	0.1802834531
103	0.1782374173
104	0.1765814222
105	0.1746930121
106	0.1728370185
107	0.1720121099
108	0.1701992344
109	0.168515721
110	0.1675585215
111	0.1656523487
112	0.1639974274
113	0.1626735159
114	0.1616568054
115	0.1604238612
116	0.1589937586
117	0.1578863643
118	0.1556237314
119	0.1541193071
120	0.1522857199
121	0.1509427945
122	0.1498723359
123	0.1485143659
124	0.1471566468
125	0.1463867028
126	0.1446047068
127	0.1437948418
128	0.1426887249
129	0.1418390519
130	0.1404605914
131	0.139739127
132	0.1385304233
133	0.1379684889
134	0.1368183642
135	0.1353996354
136	0.1345520381
137	0.1336702963
138	0.1327644822
139	0.1318504052
140	0.1310791511
141	0.1292702811
142	0.1285349097
143	0.1271968399
144	0.125670721
145	0.1248503358
146	0.123864381
147	0.122762586
148	0.1216406963
149	0.1205816445
150	0.1196736818
151	0.1186014767
152	0.1176642377
153	0.1165078274
154	0.1155234134
155	0.1146725525
156	0.1138650033
157	0.1134831993
158	0.1126631532
159	0.1120089501
160	0.1111307593
161	0.1098517088
162	0.1093474828
163	0.1083525283
164	0.10740611
165	0.1070675385
166	0.1062028426
167	0.1054163733
168	0.1049535604
169	0.1042906917
170	0.1032231017
171	0.1024924195
172	0.1020516611
173	0.1009685405
174	0.100408007
175	0.09962969978
176	0.09837476786
177	0.09758278153
178	0.09685008805
179	0.09637631281
180	0.09572489367
181	0.09482666295
182	0.0940870621
183	0.09340884456
184	0.09265700493
185	0.09197547799
186	0.09127851522
187	0.09050388124
188	0.08989079417
189	0.08921033026
190	0.08866062616
191	0.08816852007
192	0.08731104754
193	0.08667530899
194	0.08615967832
195	0.08537191764
196	0.08477557109
197	0.08420673739
198	0.08361898082
199	0.08292246284
200	0.0826358476
201	0.08233695234
202	0.08200667035
203	0.08153466625
204	0.08096105437
205	0.0801034813
206	0.07975819692
207	0.07922862411
208	0.07889324385
209	0.07852537874
210	0.07808489236
211	0.0777147304
212	0.0769452381
213	0.07668353704
214	0.0761801335
215	0.07565729308
216	0.07519787271
217	0.07466897917
218	0.07403556434
219	0.0738706508
220	0.07327954045
221	0.07284562704
222	0.07234728973
223	0.0720169797
224	0.07160984806
225	0.0709671366
226	0.07023124409
227	0.06979475204
228	0.06940139313
229	0.06855513252
230	0.06800724683
231	0.06768567326
232	0.06736900163
233	0.06692202148
234	0.06610049696
235	0.06592153901
236	0.06541927909
237	0.06514288916
238	0.06487967748
239	0.06452707922
240	0.06401803517
241	0.06369350618
242	0.06322272884
243	0.06306294595
244	0.06261546087
245	0.06217714558
246	0.06178763033
247	0.0615587937
248	0.06123619489
249	0.06105244551
250	0.06045993819
251	0.06006557015
252	0.05982282334
